Source,Target,Weight
myusufkoto,alfianbahri47,1
myvoeuxx,tanyarlfes,1
myyunieyusuf519,abdulwa40572599,1
myyunieyusuf519,dorisyincpa,1
myyunieyusuf519,rudi8799,1
nacugari,halobca,1
napipks,ojkindonesia,1
nasaktion2,arsipaja,1
naz_lira,kejaksaanri,1
naz_lira,kpk_ri,1
naz_lira,prabowo,1
nazarethze,bpkn_ri,1
nazarethze,ditreskrimsus,1
nazarethze,ditreskrimumpmj,1
nazarethze,divhumas_polri,1
nazarethze,indo_pol,1
nazarethze,jokowi,1
nazarethze,komnasham,1
nazarethze,lpsk,1
nazarethze,mohmahfudmd,2
nazarethze,ojkindonesia,2
nazarethze,ppatk,1
nazarethze,tiramissyoudum2,1
nazira_hanzey81,tomketlovers,1
needjinnie,seotulge,1
nekkochanggg,allobankid,1
nekkochanggg,caratstalk,1
nerdyluc,aldhitamar,2
netijen477437,chocominttt28,1
ngopipagi923441,bpjstkinfo,1
ngopipagi923441,chat_maya00,1
ngopipagi923441,kompascom,1
ngopipagi923441,mohmahfudmd,1
nicsdoni,heraloebss,1
nikanoutomo,lambesahamjja,1
nkrindonesia79,msaid_didu,1
nkrindonesia79,prabowo,2
nocturnalyzer_x,ojkindonesia,1
nocturnalyzer_x,rakyatvspinjol,1
noerniecho,rakyatvspinjol,1
nomiredaye,bluecandleway,1
nomoreutang,sipiting00,1
nuel_monggesang,kegblgnunfaedh,1
nufariesta,syfaeth,1
nurmeyc,tanyakanrl,1
nvideo92384,americhanoo_,1
nyaiiteng23,nanyaseadanya,1
okezonenews,heraloebss,1
okino2x,arielantonio07,1
okino2x,crazyoldmang,1
okino2x,kompascom,1
oleng_ynwa,cv_kp_mandiri,1
oliiverrsky,tanyakanrl,1
ombregas1,03__nakula,1
ombregas1,ariefrasyad,1
ombregas1,garenghallu,1
ombregas1,pengarang_sajak,1
ombregas1,penyuka_ombak,1
ombregas1,rudysarwa,1
ombregas1,tomcruzz555,1
onod32,kegblgnunfaedh,1
onyourmarklee_2,tanyakanrl,1
opsi_terakhir,subofamily,1
opsi_terakhir,tokopedia,1
orbittlunar,basebdg,1
p9trichor,buagus17,1
p9trichor,deepstorie,1
p9trichor,tanyarlfes,1
pablopswar,petrolweeb,1
pacekripto,yunepto,1
pak_erte_lima,0tk0il,1
pak_erte_lima,m0rtalcoil,1
pakde_lukm4n,adakamiofficial,1
pakde_lukm4n,ojkindonesia,1
pakde_lukm4n,rakyatvspinjol,1
pamenangagro,rizkidwika,1
pandusolusi,kapuds640,1
pardonletme,budibukanintel,1
partaisocmed,mfaiskamilaulia,1
partaisocmed,pinjollaknat,1
partono_adjem,mohmahfudmd,1
partono_adjem,pinjollaknat,3
partono_adjem,rakyatvspinjol,1
parungkil,bambangmulyonoo,1
parungkil,chovamelians26,1
pdik14,f0r_yoojeong,1
peach_zzys,starfess,1
pebriana_wahid,bospurwa,1
pegawaikorporat,tanyarlfes,1
penduduk_lokal_,raden_diky16695,1
pengennyetir,namazu_sensei,1
penyudino,arara_lilly,1
perubahan_ruang,neveral0nely,1
piizetta,tijekoridorui,1
piizetta,yusrulyh,1
pinatih88,giginpraginanto,1
pinjemdulu100rb,campanulaa_,1
pinjemdulu100rb,irdaiisy,1
pinjemdulu100rb,shopeeid,1
pinjolsolution,adipramomo,1
pinjolsolution,ghnrznnn,1
pinjolsolution,jemuran_basahhh,1
pinjolsolution,kegblgnunfaedh,1
polskiuno97,diamante_xt,1
polskiuno97,sosmedanu,1
pororococomelon,sibedull_,1
ppetalscsbn,beomciyun,1
pradaprasetya21,__anakkolong,1
pradaprasetya21,adiguna,1
pradaprasetya21,adiguna___,1
pradaprasetya21,bambangmulyonoo,1
pradaprasetya21,banser_cybernu,1
pradaprasetya21,ccicpolri,1
pradaprasetya21,dennysiregar7,1
pradaprasetya21,divhumas_polri,1
pradaprasetya21,gusdurian,1
pradaprasetya21,gusdurians,1
pradaprasetya21,maret_sebelas,1
pradaprasetya21,mistersadewa,1
pradaprasetya21,suka_kop1,1
pradaprasetya21,ust_muslih,1
prapto3x,tetsudonojtw,1
prascrypto,nophagundol,1
prascrypto,partaisocmed,1
prctm00l,tanyakanrl,1
projectreceh2,mrtweepsid,2
qorihasnan,ccicpolri,1
qorihasnan,jokowi,1
qorihasnan,kemkominfo,1
qorihasnan,kspgoid,1
qorihasnan,ojkindonesia,1
qorihasnan,rakyatvspinjol,1
queenimaisback,_hdnmr,1
queenimaisback,fiif_ardani,1
queenimaisback,karirfess,1
queenznimuni,brqssumit,1
queenznimuni,campanulaa_,2
queenznimuni,lagigabutini,2
queenznimuni,shopeeid,2
r_kapau,__simplysaving,1
r_kapau,adakamiofficial,3
r_kapau,amarbankid,1
r_kapau,anatelbay,1
r_kapau,bssn_ri,1
r_kapau,ccicpolri,2
r_kapau,eboonyakall,1
r_kapau,listyosigitp,1
r_kapau,mrtweepsid,1
r_kapau,ojkindonesia,5
r_kapau,partaisocmed,5
r_kapau,partono_adjem,3
r_kapau,rakyatvspinjol,4
r_kapau,srhbaes,2
r_kapau,tunaikucom,1
r_kapau,yonathwin,2
radhidayat,anvie,1
radianbp,arsipaja,1
rafikabayu,denni_sauya,1
rafikabayu,wiyantokdr54,1
rafikarija92834,18fesss,1
rahasyaya,5lamate,1
rahasyaya,hypeanutt,1
raintrico,mrtweepsid,1
rakoen25,txtdrimedia,1
rakyatvspinjol,adakamiofficial,1
rakyatvspinjol,anatelbay,2
rakyatvspinjol,dpr_ri,1
rakyatvspinjol,fnpromedia,1
rakyatvspinjol,gmail,1
rakyatvspinjol,kreditpintar,1
rakyatvspinjol,ojkindonesia,1
rakyatvspinjol,pungkasb,1
randomt61609964,karirfess,1
rangerpinktweet,terzinocom,1
rani_krisn,tanyakanrl,1
rannnn0613,michanb1,1
rannnn0613,tetekimv30,1
rannnn0613,yoonmindae,1
raracheesee,infernnnooo,1
ratudam05,andiwen_,1
recehtuitt,horcruxsh,1
rendrasejati,aniesmania,1
rendrasejati,ojkindonesia,2
